Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
140,,2.3350000000000004,1.7242431200258868,63.07325599207529,2.4087257606767905,1.2795835736560803,6.738782463805517,133.0,199.58672376873662,222.0
141,,5.100000000000001,2.5482389366284575,71.41647206089064,3.423394036380762,2.012228817353376,11.523706704297268,90.0,211.925,230.0
142,,6.707500000000001,2.9223713395650295,-31.991204561591022,3.3566302265202967,3.000635142638661,13.793555185280766,126.0,205.3179276928811,219.0
143,,9.302500000000002,3.4415564596413137,6.607342442554474,4.302970832716772,2.993835872564567,14.929341622907671,81.0,212.55818328406343,231.0
144,,10.365000000000002,3.6327851410701353,3.639862221402622,6.331041305967042,2.1826695110919156,16.954772721475248,115.0,206.1285576459238,225.0
145,,26.770000000000007,5.838203714547849,30.896768801225818,7.726136377165457,4.704636893303421,29.059597743976827,72.0,207.91819200597683,226.0
146,,6.600000000000001,2.8988585676524607,-15.53439761774626,3.5117608686631216,2.4853863137177505,11.14294551983978,142.0,210.98901515151516,243.0
147,,2.6075000000000004,1.8220790632947126,61.8397974959414,3.446444598862888,1.1236136424454688,9.065128060534576,107.0,206.16107382550337,230.0
148,,14.102500000000003,4.237435625425788,58.0009895921047,5.116568652501485,3.5417889860427767,15.505992052357227,112.0,202.5947527034214,218.0
149,,5.377500000000001,2.6166477890257482,39.69536520384908,3.9803592360494338,1.8317446407002504,10.908630944789017,126.0,205.45327754532775,225.0
150,,24.620000000000005,5.598853238957037,44.42267053447264,9.053799774080002,3.950327968368656,28.6492424049175,96.0,204.39541023558084,225.0
151,,1.2950000000000002,1.284073677960901,9.004531951806305,2.3081383512365115,0.8411596767652407,5.950609665440988,152.0,201.15057915057915,218.0
152,,6.437500000000001,2.8629494527903585,74.60398362006153,3.595367258801281,2.3099784225419,11.291473657263637,135.0,207.82135922330096,225.0
153,,13.595000000000002,4.160491751064355,6.5379851598527186,5.500689871400343,3.2746820572257342,17.255687219636734,96.0,210.54119161456418,234.0
154,,3.8475000000000006,2.213320841714671,-85.80829191465622,2.5041989535474922,2.0562525366491005,8.421930009000631,139.0,204.63027940220923,227.0
155,,5.185000000000001,2.569386510327284,84.46705524970386,4.041342271140485,1.9238894723783746,11.700052301026329,131.0,206.55930568948892,244.0
156,,5.545000000000001,2.657087366940816,40.790828239918156,4.49299934598027,2.245527513618039,14.506854249492381,88.0,203.4828674481515,230.0
157,,7.330000000000002,3.0549706811864406,-56.57643990605636,3.825514528105774,2.6685322956811084,13.486753236814714,117.0,201.018758526603,221.0
158,,16.212500000000002,4.543390377132349,-36.22014259762486,5.384744489813237,4.04178673666593,18.469900782009827,104.0,209.55389360061682,226.0
159,,14.602500000000003,4.311899865719891,-3.5207884444448974,6.48342456959926,3.58470801542549,22.458935777509513,135.0,207.11436397877077,236.0
160,,17.672500000000003,4.743556245511606,42.88032033266489,5.459204003805159,4.475649326617652,19.50213382904346,68.0,210.45225633045692,233.0
161,,4.195000000000001,2.311112262561905,17.39221702283373,2.54489608287192,2.186251144776864,9.085838738653234,89.0,205.70202622169248,232.0
162,,0.6825000000000001,0.9321941800299703,-47.450531935929845,1.2340321603152224,0.7492471634607569,3.707411613907041,165.0,203.47619047619048,216.0
163,,2.2925000000000004,1.7084793403214922,-36.85419269929894,2.9963000814012233,1.0516704910234997,7.289087296526012,154.0,204.49618320610688,223.0
164,,1.9625000000000004,1.5807379942744328,-45.46622729086581,1.8614960273509422,1.4822448127311536,6.716295090390226,105.0,206.89426751592356,237.0
165,,4.617500000000001,2.4247027854594085,14.188850328760394,3.4087908807653857,1.909840920172618,11.701524163602471,94.0,205.0286951813752,222.0
166,,5.732500000000001,2.7016375941629036,-17.476099914674723,3.7402390222340283,2.769874650399892,14.808326112068526,88.0,197.37374618403837,226.0
